,SRR1463325,SRR1463326,SRR1463334,SRR1463335
AT2G03460,0,0,0,0
AT2G03470,510,328,209,96
AT2G03480,37,9,0,21
AT2G03490,0,0,0,0
AT2G03500,1,0,0,0
AT2G03505,0,0,1,0
AT2G03510,40,47,4,50
AT2G03520,3,0,0,0
AT2G03530,0,23,0,0
AT2G03550,20,10,0,0
AT2G03560,3,0,0,0
AT2G03565,0,0,0,0
AT2G03570,0,0,0,0
AT2G03580,0,0,0,0
AT2G03590,5,0,0,0
AT2G03600,0,0,0,0
AT2G03610,0,0,0,0
AT2G03620,39,58,29,75
AT2G03630,1,0,0,0
AT2G03640,158,48,452,161
AT2G03660,0,0,0,0
AT2G03667,36,22,1,10
AT2G03670,11,3,0,14
AT2G03680,46,71,81,85
AT2G03690,72,56,89,127
AT2G03700,0,0,0,0
AT2G03710,13,0,0,0
AT2G03720,0,0,0,0
AT2G03730,178,192,36,166
AT2G03740,0,0,0,0
AT2G03750,11,24,0,0
AT2G03760,16,8,29,7
AT2G03770,0,0,0,0
AT2G03780,18,16,0,0
AT2G03790,0,0,0,0
AT2G03800,12,1,9,61
AT2G03810,138,17,257,224
AT2G03820,127,146,5,157
AT2G03821,0,0,0,0
AT2G03822,0,0,0,0
AT2G03830,0,0,0,0
AT2G03840,0,0,0,0
AT2G03850,0,0,0,0
AT2G03870,31,97,3,3
AT2G03880,1,0,0,0
AT2G03890,261,138,86,160
AT2G03913,0,0,0,0
AT2G03930,0,0,0,0
AT2G03931,0,0,0,0
AT2G03932,0,0,0,0
AT2G03933,0,0,0,0
AT2G03936,0,0,0,0
AT2G03937,0,0,0,0
AT2G03938,0,0,0,0
AT2G03955,0,0,0,0
AT2G03980,178,111,308,358
AT2G04020,0,0,0,0
AT2G04025,0,0,0,0
AT2G04030,607,654,257,2457
AT2G04031,0,0,0,0
AT2G04032,0,0,0,0
AT2G04034,0,0,0,0
AT2G04037,0,0,0,0
AT2G04038,0,0,0,0
AT2G04039,189,103,1,0
AT2G04040,31,0,2,0
AT2G04041,0,0,0,0
AT2G04045,0,0,0,0
AT2G04046,0,0,0,0
AT2G04050,2,0,2,4
AT2G04060,0,0,0,0
AT2G04063,0,0,0,0
AT2G04066,0,0,0,0
AT2G04070,0,0,0,0
AT2G04080,0,0,0,0
AT2G04090,0,0,0,0
AT2G04100,0,0,0,0
AT2G04115,0,0,0,0
AT2G04160,84,70,33,4
AT2G04170,0,0,0,0
AT2G04190,0,0,0,0
AT2G04220,0,0,0,0
AT2G04230,18,6,0,42
AT2G04235,13,36,46,3
AT2G04240,7,5,2,4
AT2G04270,124,85,0,79
AT2G04280,35,8,0,1
AT2G04300,0,0,0,0
AT2G04305,26,45,3,31
AT2G04340,4,3,11,2
AT2G04350,262,46,230,222
AT2G04360,104,56,111,40
AT2G04370,0,0,0,0
AT2G04378,307,195,490,181
AT2G04380,289,166,461,194
AT2G04390,7,21,18,11
AT2G04395,0,0,0,0
AT2G04400,148,27,723,386
AT2G04410,74,38,100,34
AT2G04420,0,1,0,0
AT2G04425,0,0,0,0
AT2G04430,0,0,0,4
AT2G04440,0,0,0,0
AT2G04450,1,0,0,0
AT2G04480,0,0,0,0
AT2G04495,0,0,0,0
AT2G04500,0,0,0,0
AT2G04515,0,0,0,0
AT2G04520,315,159,344,2357
AT2G04530,18,6,0,0
AT2G04540,75,55,9,1
AT2G04550,146,76,11,24
AT2G04560,9,20,0,34
AT2G04570,23,22,76,25
AT2G04620,14,8,78,54
AT2G04622,0,0,0,0
AT2G04630,77,24,36,19
AT2G04650,3,0,0,8
AT2G04660,15,1,0,0
AT2G04675,0,0,0,0
AT2G04680,2,0,0,0
AT2G04690,109,57,32,50
AT2G04700,503,377,10,58
AT2G04740,12,44,60,30
AT2G04750,0,0,0,0
AT2G04780,63,42,0,1
AT2G04790,2,6,1,0
AT2G04795,4,0,0,2
AT2G04800,0,0,0,0
AT2G04810,0,0,0,0
AT2G04830,0,0,0,0
AT2G04840,1,1,0,0
AT2G04842,128,111,4,14
AT2G04845,6,3,0,3
AT2G04850,1,8,0,0
AT2G04852,3,1,0,0
AT2G04860,9,0,0,0
AT2G04865,142,50,51,120
AT2G04870,0,0,0,0
AT2G04880,134,124,819,935
AT2G04890,42,20,6,57
AT2G04900,42,20,122,77
AT2G04910,0,0,0,0
AT2G04920,0,14,0,0
AT2G04925,0,0,0,0
AT2G04930,0,0,0,0
AT2G04940,20,9,7,9
AT2G05050,0,0,0,0
AT2G05060,0,0,0,0
AT2G05070,1894,1947,3,19
AT2G05100,2526,2653,164,74
AT2G05117,0,0,0,0
AT2G05120,26,8,0,29
AT2G05140,0,0,0,0
AT2G05160,12,19,0,0
AT2G05170,42,24,135,112
AT2G05180,0,0,0,0
AT2G05185,0,1,0,1
AT2G05210,26,19,0,4
AT2G05220,38,17,0,4
AT2G05230,0,0,0,0
AT2G05250,0,0,0,0
AT2G05260,9,13,8,7
AT2G05270,1,0,1,0
AT2G05294,0,0,0,0
AT2G05310,49,45,2,10
AT2G05320,48,13,285,50
AT2G05330,0,0,0,0
AT2G05335,0,0,0,0
AT2G05350,0,0,0,0
AT2G05360,0,0,0,0
AT2G05370,0,0,0,0
AT2G05380,766,275,13,17
AT2G05400,0,0,0,0
AT2G05410,0,0,0,0
AT2G05420,0,0,0,0
AT2G05430,0,0,0,0
AT2G05440,0,0,8,15
AT2G05500,0,0,0,0
AT2G05510,0,3,0,1
AT2G05518,0,0,0,5
AT2G05520,602,183,992,366
AT2G05530,0,0,0,0
AT2G05540,153,97,294,640
AT2G05580,0,0,0,0
AT2G05590,88,26,300,64
AT2G05600,0,0,0,0
AT2G05620,171,286,49,45
AT2G05630,4,0,547,3
AT2G05632,0,0,0,0
AT2G05635,0,0,0,0
AT2G05642,0,0,0,0
AT2G05645,0,0,0,0
AT2G05710,2093,711,1641,3925
AT2G05720,1,1,0,0
AT2G05752,0,0,0,0
AT2G05753,2,0,0,0
AT2G05755,8,0,0,10
AT2G05760,5,15,0,0
AT2G05765,0,0,0,0
AT2G05786,0,0,0,0
AT2G05790,96,94,0,1
AT2G05803,0,0,0,0
AT2G05810,33,24,0,2
AT2G05812,39,7,0,0
AT2G05830,177,163,0,0
AT2G05840,78,76,30,141
AT2G05850,0,0,0,0
AT2G05900,0,0,0,0
AT2G05910,20,4,0,0
AT2G05914,1,0,0,0
AT2G05915,0,0,0,0
AT2G05920,108,92,0,35
AT2G05940,606,411,215,326
AT2G05970,0,0,0,0
AT2G05990,189,292,26,3
AT2G05995,0,0,0,1
AT2G06000,14,24,56,61
AT2G06002,4,0,0,0
AT2G06005,14,40,12,52
AT2G06010,180,91,3,52
AT2G06020,0,0,0,0
AT2G06025,267,89,235,115
AT2G06040,163,20,2,33
AT2G06050,514,323,500,365
AT2G06090,0,0,0,0
AT2G06095,0,0,0,0
AT2G06166,0,0,0,0
AT2G06200,0,0,0,0
AT2G06210,159,83,33,323
AT2G06255,2,0,0,2
AT2G06420,0,0,0,0
AT2G06500,0,0,0,0
AT2G06510,22,15,220,75
AT2G06520,276,274,46,20
AT2G06530,290,206,283,234
AT2G06541,0,0,0,0
AT2G06555,0,0,0,0
AT2G06562,0,0,0,0
AT2G06570,0,0,0,0
AT2G06645,0,0,0,0
AT2G06667,0,0,0,0
AT2G06845,0,0,0,0
AT2G06850,90,45,0,2
AT2G06904,0,0,0,0
AT2G06906,0,0,0,0
AT2G06908,0,0,0,0
AT2G06925,7,4,0,0
AT2G06960,0,0,0,0
AT2G06983,0,0,0,0
AT2G06990,66,12,164,44
AT2G07000,0,0,0,0
AT2G07020,0,0,0,0
AT2G07040,0,0,0,0
AT2G07042,1,2,0,0
AT2G07050,99,79,24,139
AT2G07110,0,0,0,0
AT2G07120,0,0,0,0
AT2G07140,0,0,0,0
AT2G07170,17,2,0,1
AT2G07180,554,195,160,258
AT2G07190,0,0,0,0
AT2G07200,0,0,0,0
AT2G07213,0,0,0,0
AT2G07215,0,0,0,0
AT2G07240,0,0,0,0
AT2G07280,0,0,0,0
AT2G07290,0,0,0,0
AT2G07310,0,0,0,0
AT2G07340,8,9,0,35
AT2G07360,111,126,642,275
AT2G07362,0,0,0,0
AT2G07363,0,0,0,0
AT2G07440,0,0,0,0
AT2G07505,0,0,0,0
AT2G07521,0,0,0,0
AT2G07560,0,0,0,0
AT2G07599,0,0,0,0
AT2G07640,0,0,0,0
AT2G07667,1,4,0,3
AT2G07669,0,0,0,0
AT2G07671,0,0,0,0
AT2G07672,0,0,0,0
AT2G07673,0,0,0,0
AT2G07674,0,0,0,0
AT2G07675,0,0,0,0
AT2G07676,0,0,0,0
AT2G07678,0,0,0,0
AT2G07680,41,45,0,0
AT2G07681,7,0,0,0
AT2G07684,0,0,0,0
AT2G07687,0,0,0,0
AT2G07689,0,0,0,0
AT2G07690,31,63,0,0
AT2G07691,0,0,0,0
AT2G07692,0,0,0,0
AT2G07695,0,0,0,0
AT2G07696,0,0,0,0
AT2G07698,9,3,0,46
AT2G07701,0,0,0,0
AT2G07702,0,0,0,0
AT2G07705,0,0,0,0
AT2G07706,0,0,0,0
AT2G07707,0,0,0,0
AT2G07708,0,0,0,0
AT2G07713,0,0,0,0
AT2G07714,0,0,0,0
AT2G07715,6,0,0,4
AT2G07718,0,0,0,0
AT2G07719,0,0,0,0
AT2G07721,0,0,0,0
AT2G07722,0,0,0,0
AT2G07724,0,0,0,0
AT2G07725,0,0,0,0
AT2G07727,0,0,1,3
AT2G07728,0,0,0,3
AT2G07732,0,0,0,0
AT2G07734,0,0,0,0
AT2G07738,0,0,0,0
AT2G07739,0,0,0,0
AT2G07741,0,0,0,0
AT2G07742,0,0,0,0
AT2G07743,0,0,0,0
AT2G07745,0,0,0,0
AT2G07746,0,0,0,0
AT2G07748,0,0,0,0
AT2G07749,0,0,0,0
AT2G07750,0,0,0,0
AT2G07751,0,0,0,0
AT2G07752,0,0,0,0
AT2G07753,0,0,0,0
AT2G07754,0,0,0,0
AT2G07755,0,0,0,0
AT2G07756,0,0,0,0
AT2G07757,0,0,0,0
AT2G07758,0,0,0,0
AT2G07759,0,0,0,0
AT2G07760,0,0,0,0
AT2G07761,0,0,0,0
AT2G07762,0,0,0,0
AT2G07763,0,0,0,0
AT2G07764,0,0,0,0
AT2G07765,0,0,0,0
AT2G07766,0,0,0,0
AT2G07768,0,0,0,0
AT2G07771,0,0,0,0
AT2G07772,0,0,0,0
AT2G07773,0,0,0,0
AT2G07774,0,0,0,0
AT2G07775,0,1,0,0
AT2G07776,0,0,0,0
AT2G07777,0,0,0,0
AT2G07778,0,0,0,0
AT2G07779,0,0,0,0
AT2G07785,0,0,0,0
AT2G07787,0,0,0,0
AT2G07792,0,0,0,0
AT2G07793,0,0,0,0
AT2G07794,0,0,0,0
AT2G07795,0,0,0,0
AT2G07798,1,0,0,0
AT2G07806,0,0,0,0
AT2G07815,0,0,0,0
AT2G07820,0,0,0,0
AT2G07825,0,0,0,0
AT2G07827,0,0,0,0
AT2G07830,0,0,0,0
AT2G07835,0,0,0,7
AT2G07981,0,0,0,0
AT2G08986,0,0,0,0
AT2G09388,0,0,0,0
AT2G09795,13,4,7,40
AT2G09838,0,0,0,0
AT2G09840,0,0,0,0
AT2G09970,0,0,0,0
AT2G09990,42,17,28,46
AT2G10014,0,0,0,0
AT2G10020,0,0,0,0
AT2G10260,0,0,0,0
AT2G10340,0,0,0,0
AT2G10440,0,0,0,3
AT2G10450,0,0,0,3
AT2G10535,0,0,0,0
AT2G10537,0,0,0,0
AT2G10550,0,0,0,0
AT2G10557,0,0,0,0
AT2G10560,0,0,0,0
AT2G10602,0,0,0,0
AT2G10606,0,0,0,0
AT2G10608,0,0,0,0
AT2G10920,0,0,0,0
AT2G10921,0,0,0,0
AT2G10930,5,0,0,0
AT2G10931,10,0,0,19
AT2G10940,1355,1182,3,27
AT2G10950,24,2,303,21
AT2G10965,0,0,0,0
AT2G10970,0,0,0,0
AT2G10975,0,0,0,0
AT2G11000,18,13,4,20
AT2G11005,0,0,0,0
AT2G11010,0,0,0,0
AT2G11015,0,0,0,0
AT2G11200,0,0,0,0
AT2G11270,0,0,0,7
AT2G11271,0,0,0,0
AT2G11405,0,0,0,0
AT2G11462,0,0,0,0
AT2G11520,46,67,387,159
AT2G11522,0,0,0,0
AT2G11570,0,0,0,0
AT2G11620,0,0,0,0
AT2G11623,0,0,0,0
AT2G11626,0,0,0,0
AT2G11651,0,0,0,0
AT2G11773,0,0,0,0
AT2G11778,0,0,0,0
AT2G11810,0,0,0,0
AT2G11851,0,0,0,0
AT2G11852,0,0,0,0
AT2G11890,162,100,134,156
AT2G11891,7,4,0,0
AT2G11910,55,28,2,6
AT2G12170,0,0,0,0
AT2G12190,0,0,1,2
AT2G12200,0,0,0,0
AT2G12280,0,0,1,0
AT2G12290,0,0,0,0
AT2G12400,16,28,34,5
AT2G12405,0,0,0,0
AT2G12461,0,0,0,0
AT2G12462,0,0,0,0
AT2G12465,0,0,0,0
AT2G12475,0,0,0,0
AT2G12480,0,0,0,0
AT2G12550,4,1,18,18
AT2G12557,0,0,0,0
AT2G12646,0,1,0,0
AT2G12875,0,0,0,0
AT2G12880,0,0,0,0
AT2G12900,0,0,0,0
AT2G12905,0,0,0,0
AT2G12935,0,0,0,0
AT2G12940,0,0,0,0
AT2G12945,0,0,0,0
AT2G12977,0,0,0,0
AT2G13100,20,14,250,7
AT2G13125,0,0,0,0
AT2G13126,0,0,0,0
AT2G13150,0,0,0,0
AT2G13272,0,0,0,0
AT2G13273,0,0,0,0
AT2G13290,10,4,17,36
AT2G13295,0,0,0,0
AT2G13350,0,0,0,0
AT2G13360,21684,22865,197,139
AT2G13363,0,0,0,0
AT2G13370,409,120,590,458
AT2G13422,0,0,0,0
AT2G13430,4,0,0,0
AT2G13440,93,127,12,6
AT2G13450,0,0,0,0
AT2G13463,0,0,0,0
AT2G13500,0,0,0,0
AT2G13510,0,0,0,0
AT2G13540,195,139,1,17
AT2G13542,0,0,0,0
AT2G13547,0,0,0,0
AT2G13550,4,17,0,0
AT2G13560,135,47,162,92
AT2G13570,0,0,0,0
AT2G13600,34,4,3,20
AT2G13610,42,8,84,95
AT2G13620,0,0,0,0
AT2G13623,0,0,0,0
AT2G13630,0,0,0,0
AT2G13640,1,0,0,0
AT2G13650,84,96,2,19
AT2G13660,36,1,2,23
AT2G13665,8,0,1,19
AT2G13680,0,0,0,0
AT2G13690,6,0,0,8
AT2G13720,0,0,0,0
AT2G13760,0,0,0,0
AT2G13770,0,0,0,0
AT2G13790,688,597,41,40
AT2G13800,37,14,0,0
AT2G13810,0,0,0,0
AT2G13820,3,0,0,0
AT2G13840,24,8,0,8
AT2G13895,0,0,0,0
AT2G13900,0,0,0,0
AT2G13950,0,0,0,0
AT2G13960,0,4,7,0
AT2G13980,0,0,0,0
AT2G14000,0,0,0,0
AT2G14045,39,28,0,16
AT2G14050,13,6,46,2
AT2G14060,0,0,0,0
AT2G14070,0,0,0,0
AT2G14080,89,34,43,263
AT2G14095,0,0,0,0
AT2G14100,0,0,0,0
AT2G14110,7,17,2,16
AT2G14115,8,18,1,19
AT2G14120,161,138,338,279
AT2G14160,0,0,0,0
AT2G14170,105,46,4,9
AT2G14206,0,0,0,0
AT2G14210,0,0,0,1
AT2G14247,0,0,0,0
AT2G14255,103,159,116,78
AT2G14260,298,69,43,124
AT2G14270,0,0,0,0
AT2G14282,0,0,0,0
AT2G14285,29,7,4,0
AT2G14288,0,0,0,0
AT2G14289,0,0,0,0
AT2G14290,0,0,0,4
AT2G14365,0,0,0,0
AT2G14378,0,0,0,0
AT2G14390,0,0,0,0
AT2G14440,0,0,0,0
AT2G14460,0,0,0,0
AT2G14500,0,0,0,0
AT2G14510,0,0,0,0
AT2G14520,5,3,8,32
AT2G14530,3,22,4,0
AT2G14540,0,0,0,0
AT2G14560,13,0,0,0
AT2G14580,0,25,0,0
AT2G14610,0,0,0,0
AT2G14620,0,0,0,0
AT2G14635,0,0,0,0
AT2G14660,1,1,0,0
AT2G14670,0,0,0,0
AT2G14680,65,10,39,21
AT2G14690,2,6,6,0
AT2G14692,0,0,0,0
AT2G14700,0,0,0,0
AT2G14710,0,0,0,0
AT2G14720,138,38,187,289
AT2G14740,50,50,34,215
AT2G14750,315,42,1936,760
AT2G14760,0,0,0,0
AT2G14800,14,6,0,10
AT2G14810,0,0,0,0
AT2G14820,0,2,0,0
AT2G14830,5,0,0,25
AT2G14835,77,51,0,78
AT2G14846,0,0,0,0
AT2G14850,19,16,21,106
AT2G14860,4,26,0,0
AT2G14870,0,0,0,0
AT2G14878,28,90,0,19
AT2G14880,28,16,1,15
AT2G14890,46,30,230,19
AT2G14900,1,2,0,0
AT2G14910,992,985,74,199
AT2G14920,0,0,0,0
AT2G14935,0,0,0,0
AT2G14960,37,0,5,2
AT2G15000,7,2,0,4
AT2G15010,0,0,0,0
AT2G15020,67,11,0,0
AT2G15025,0,0,0,0
AT2G15029,0,0,0,0
AT2G15042,0,1,0,0
AT2G15050,2,1,0,0
AT2G15080,5,22,0,0
AT2G15090,0,1,0,0
AT2G15110,0,0,0,0
AT2G15128,0,2,3,0
AT2G15130,0,0,0,0
AT2G15170,0,0,0,0
AT2G15180,0,0,0,0
AT2G15185,0,0,0,0
AT2G15220,4,0,0,0
AT2G15230,27,3,0,32
AT2G15240,23,74,0,74
AT2G15260,0,0,0,0
AT2G15270,76,28,4,43
AT2G15280,87,23,12,18
AT2G15290,777,160,1476,155
AT2G15292,5,38,244,9
AT2G15300,1,0,0,1
AT2G15310,4,0,0,0
AT2G15318,0,0,0,0
AT2G15320,12,1,19,39
AT2G15325,0,0,0,0
AT2G15327,0,0,0,0
AT2G15340,0,0,0,0
AT2G15345,0,0,0,0
AT2G15350,0,0,0,0
AT2G15360,0,0,0,0
AT2G15370,0,0,0,0
AT2G15390,9,3,13,0
AT2G15400,1,4,0,0
AT2G15420,0,0,0,0
AT2G15430,63,27,6,26
AT2G15440,4,2,0,7
AT2G15450,0,0,0,0
AT2G15460,0,0,0,0
AT2G15470,0,0,0,0
AT2G15480,1872,753,9030,7724
AT2G15490,0,0,0,0
AT2G15500,24,0,0,0
AT2G15530,107,45,162,183
AT2G15535,0,0,0,0
AT2G15555,0,0,0,0
AT2G15560,84,36,49,193
AT2G15570,10,2,23,11
AT2G15580,79,17,2,3
AT2G15590,0,0,0,0
AT2G15610,0,0,0,0
AT2G15620,41,1548,0,6
AT2G15630,0,0,0,0
AT2G15640,0,0,0,0
AT2G15660,0,0,0,0
AT2G15670,0,0,0,0
AT2G15680,8,0,0,0
AT2G15690,28,0,0,36
AT2G15695,299,186,356,252
AT2G15710,0,0,0,0
AT2G15730,86,56,75,19
AT2G15740,0,0,0,0
AT2G15760,0,0,224,0
AT2G15770,0,0,0,0
AT2G15780,0,0,0,0
AT2G15790,73,4,1,6
AT2G15820,10,32,18,18
AT2G15830,6,2,668,37
AT2G15860,37,15,3,14
AT2G15880,380,175,1,49
AT2G15890,108,55,8,5
AT2G15900,115,104,636,214
AT2G15910,40,14,30,79
AT2G15930,0,0,0,0
AT2G15950,0,0,0,0
AT2G15960,167,83,19,38
AT2G15970,21,12,18,96
AT2G15980,5,2,8,4
AT2G16005,0,0,0,0
AT2G16015,0,0,0,0
AT2G16016,0,0,0,0
AT2G16018,0,0,0,0
AT2G16019,0,0,0,0
AT2G16020,0,0,0,0
AT2G16030,0,0,0,0
AT2G16040,0,0,0,0
AT2G16050,0,0,0,0
AT2G16060,2,0,1,1
AT2G16070,18,10,20,7
AT2G16090,17,3,0,31
AT2G16120,0,0,0,0
AT2G16130,0,0,0,0
AT2G16145,0,0,0,0
AT2G16190,0,0,0,0
AT2G16200,0,0,0,0
AT2G16210,0,0,0,0
AT2G16220,0,0,0,0
AT2G16225,0,0,0,0
AT2G16230,0,0,0,0
AT2G16240,0,0,0,0
AT2G16245,0,0,0,19
AT2G16250,13,8,11,28
AT2G16270,21,0,14,0
AT2G16280,103,61,253,183
AT2G16290,0,0,0,0
AT2G16300,0,0,0,0
AT2G16340,0,0,0,0
AT2G16360,3,0,0,0
AT2G16365,119,67,108,97
AT2G16370,31,12,12,24
AT2G16380,27,13,4,199
AT2G16385,0,0,0,0
AT2G16390,53,32,7,48
AT2G16400,26,43,0,0
AT2G16405,33,22,1,53
AT2G16430,20,28,0,3
AT2G16440,8,28,7,1
AT2G16450,0,0,0,5
AT2G16460,58,26,154,170
AT2G16485,412,181,444,718
AT2G16490,0,0,0,0
AT2G16500,1198,22012,1658,1771
AT2G16505,0,0,0,0
AT2G16510,319,212,459,398
AT2G16520,0,0,0,0
AT2G16530,1,2,0,0
AT2G16535,0,0,0,0
AT2G16570,1,0,0,0
AT2G16575,1,5,0,0
AT2G16580,3,1,0,1
AT2G16586,1374,647,0,2
AT2G16592,0,0,0,0
AT2G16594,0,0,0,0
AT2G16595,7,0,1,0
AT2G16600,207,184,992,884
AT2G16620,0,0,0,0
AT2G16630,683,354,1533,1908
AT2G16640,210,179,156,238
AT2G16650,2,23,0,1
AT2G16660,196,193,989,174
AT2G16668,0,0,0,0
AT2G16676,0,0,0,0
AT2G16700,28,39,98,0
AT2G16710,48,16,35,126
AT2G16720,80,26,1,17
AT2G16730,0,0,0,0
AT2G16740,2,0,0,0
AT2G16750,0,6,0,0
AT2G16760,0,0,0,0
AT2G16770,2,2,0,6
AT2G16780,13,4,0,0
AT2G16790,3,6,7,0
AT2G16800,79,13,0,15
AT2G16810,0,0,0,0
AT2G16835,0,0,0,0
AT2G16850,1,4,0,0
AT2G16860,80,45,68,170
AT2G16870,2,2,0,42
AT2G16880,26,1,19,39
AT2G16881,0,0,0,0
AT2G16890,0,0,0,0
AT2G16900,5015,2230,15069,8637
AT2G16910,18,2,0,7
AT2G16920,55,74,79,86
AT2G16930,64,48,5,23
AT2G16940,512,270,44,71
AT2G16950,399,153,490,370
AT2G16955,0,0,0,0
AT2G16960,0,0,0,0
AT2G16970,0,0,0,0
AT2G16980,0,0,0,0
AT2G16990,0,1,0,0
AT2G17000,0,0,0,0
AT2G17010,5,6,0,0
AT2G17020,24,29,3,81
AT2G17030,75,13,148,42
AT2G17033,198,219,20,63
AT2G17036,70,111,15,11
AT2G17040,195,8,160,0
AT2G17043,0,0,0,0
AT2G17050,18,13,0,0
AT2G17055,0,0,0,0
AT2G17060,0,0,0,0
AT2G17070,0,0,0,0
AT2G17080,0,0,0,0
AT2G17090,0,0,0,0
AT2G17110,86,16,158,30
AT2G17120,619,254,377,385
AT2G17130,115,19,3,101
AT2G17140,11,1,0,44
AT2G17150,88,27,2,20
AT2G17160,0,0,0,0
AT2G17170,0,2,0,0
AT2G17180,0,0,0,1
AT2G17190,309,176,279,479
AT2G17200,286,125,177,305
AT2G17210,31,0,0,12
AT2G17220,1449,567,9167,225
AT2G17230,0,0,0,0
AT2G17240,28,52,4,3
AT2G17250,28,11,3,12
AT2G17260,0,35,0,0
AT2G17265,58,14,0,11
AT2G17270,8,5,12,6
AT2G17280,0,0,0,0
AT2G17290,73,87,18,80
AT2G17295,0,0,0,0
AT2G17300,17,2,15,7
AT2G17305,0,0,0,0
AT2G17310,0,0,0,0
AT2G17320,23,16,3,0
AT2G17340,127,96,0,5
AT2G17350,48,18,3,45
AT2G17360,1208,916,488,184
AT2G17370,32,15,10,47
AT2G17380,131,27,40,26
AT2G17390,82,43,51,33
AT2G17410,298,146,516,662
AT2G17420,285,159,836,840
AT2G17430,2,13,37,3
AT2G17440,147,128,220,74
AT2G17442,22,7,0,1
AT2G17450,132,15,3,29
AT2G17470,0,1,0,13
AT2G17480,97,121,1,57
AT2G17500,77,110,1002,315
AT2G17510,77,79,54,49
AT2G17520,375,100,1266,541
AT2G17525,8,1,0,0
AT2G17530,88,21,319,44
AT2G17540,9,16,4,59
AT2G17550,47,2,44,26
AT2G17556,0,0,0,0
AT2G17560,15,9,5,2
AT2G17570,24,2,18,9
AT2G17580,31,17,8,38
AT2G17590,0,0,0,0
AT2G17600,0,0,0,0
AT2G17620,0,55,0,0
AT2G17630,2,8,0,0
AT2G17640,5,4,9,14
AT2G17650,1,0,0,1
AT2G17660,10,20,1,6
AT2G17670,16,13,13,11
AT2G17680,0,0,0,0
AT2G17690,5,0,0,0
AT2G17695,18,10,0,9
AT2G17700,109,55,36,89
AT2G17705,43,11,2,31
AT2G17710,94,39,149,15
AT2G17720,59,14,14,9
AT2G17723,0,0,0,0
AT2G17730,124,71,0,43
AT2G17740,0,0,0,0
AT2G17750,0,0,0,0
AT2G17760,378,269,412,168
AT2G17770,0,0,0,0
AT2G17780,23,2,0,0
AT2G17785,0,0,0,0
AT2G17787,75,45,17,110
AT2G17790,288,66,264,266
AT2G17800,43,39,16,12
AT2G17810,0,0,0,0
AT2G17820,109,42,8,84
AT2G17830,1727,1560,3,6
AT2G17840,9147,12814,1517,2888
AT2G17845,0,0,0,1
AT2G17850,0,0,0,7
AT2G17860,0,0,0,0
AT2G17870,45,28,254,89
AT2G17880,7,10,0,0
AT2G17890,0,0,0,0
AT2G17900,26,32,409,73
AT2G17920,0,0,0,0
AT2G17930,786,412,700,851
AT2G17940,0,0,0,0
AT2G17950,0,0,0,0
AT2G17960,0,0,0,0
AT2G17970,15,0,3,27
AT2G17972,27,18,12,57
AT2G17975,98,70,12,50
AT2G17980,93,23,189,217
AT2G17990,87,55,155,370
AT2G18000,12,0,4,2
AT2G18010,0,0,0,0
AT2G18020,387,110,126,53
AT2G18030,6,3,1,4
AT2G18040,111,31,289,36
AT2G18050,6,8,32,4
AT2G18060,0,0,0,0
AT2G18070,0,0,0,0
AT2G18080,0,0,0,0
AT2G18090,1203,598,449,652
AT2G18100,56,33,0,0
AT2G18110,121,34,28,11
AT2G18120,0,0,0,0
AT2G18130,0,0,0,0
AT2G18140,0,0,0,0
AT2G18150,0,0,0,1
AT2G18160,0,0,0,0
AT2G18162,0,0,0,0
AT2G18170,52,56,109,144
AT2G18180,0,0,0,0
AT2G18190,0,0,0,0
AT2G18193,118,42,114,106
AT2G18196,0,11,0,0
AT2G18200,0,0,0,0
AT2G18210,0,3,0,0
AT2G18220,13,26,2,12
AT2G18230,61,21,0,0
AT2G18240,11,21,0,68
AT2G18245,22,15,0,15
AT2G18250,19,29,98,15
AT2G18260,0,6,0,4
AT2G18270,26,16,41,23
AT2G18280,617,829,2254,1028
AT2G18290,25,18,183,22
AT2G18300,13,54,0,0
AT2G18310,0,0,0,0
AT2G18320,0,0,0,0
AT2G18328,0,0,0,0
AT2G18330,10,20,2,45
AT2G18340,0,0,0,0
AT2G18350,1,8,0,13
AT2G18360,4,0,0,0
AT2G18370,0,0,0,0
AT2G18380,0,0,0,0
AT2G18390,38,22,0,4
AT2G18400,8,0,0,0
AT2G18410,6,0,0,93
AT2G18420,0,0,0,0
AT2G18440,1458,1569,3414,6718
AT2G18450,15,12,0,0
AT2G18460,0,2,1,0
AT2G18465,7,8,30,18
AT2G18470,0,0,0,0
AT2G18480,0,0,0,0
AT2G18490,0,0,0,0
AT2G18500,0,0,0,0
AT2G18510,270,559,372,977
AT2G18520,4,0,0,0
AT2G18530,0,0,0,0
AT2G18540,0,0,0,0
AT2G18550,0,1,0,0
AT2G18560,21,0,0,4
AT2G18570,0,0,0,0
AT2G18590,0,0,0,0
AT2G18600,0,0,59,14
AT2G18610,0,0,0,0
AT2G18620,0,0,0,0
AT2G18630,109,38,63,47
AT2G18640,0,0,0,0
AT2G18650,0,0,0,0
AT2G18660,0,0,0,0
AT2G18670,334,107,90,146
AT2G18680,16,0,5,0
AT2G18690,208,108,131,106
AT2G18700,22677,8165,1788,5497
AT2G18710,2481,1027,54,122
AT2G18720,1,22,0,0
AT2G18721,2,0,0,0
AT2G18730,201,107,129,145
AT2G18735,7,17,0,0
