,SRR1463325,SRR1463326,SRR1463334,SRR1463335
AT1G02890,1165,582,900,1668
AT1G02900,0,2,0,0
AT1G02910,78,40,5,37
AT1G02920,257,29,329,14
AT1G02930,335,178,500,166
AT1G02940,0,0,0,0
AT1G02950,0,29,0,0
AT1G02952,0,3,0,0
AT1G02960,23,5,0,2
AT1G02965,0,0,0,0
AT1G02970,16,1,0,0
AT1G02980,0,1,0,5
AT1G02990,277,90,549,453
AT1G03000,74,94,75,12
AT1G03010,0,0,0,0
AT1G03020,0,0,0,0
AT1G03022,0,0,0,0
AT1G03030,57,94,0,22
AT1G03040,110,92,134,101
AT1G03050,1,3,0,1
AT1G03055,6,14,0,0
AT1G03060,1807,785,1664,560
AT1G03070,13,21,5,1135
AT1G03080,1353,1019,4310,2325
AT1G03090,698,237,66,65
AT1G03100,427,332,15,40
AT1G03103,15,0,0,0
AT1G03106,0,0,4,0
AT1G03110,37,33,0,1
AT1G03120,3,2,0,0
AT1G03130,522,659,61,75
AT1G03140,214,31,4,100
AT1G03150,7,4,3,4
AT1G03160,166,105,281,26
AT1G03170,0,0,0,0
AT1G03180,2,2,0,7
AT1G03190,61,40,303,458
AT1G03200,0,0,0,0
AT1G03210,5,6,0,0
AT1G03220,3824,1696,5458,3885
AT1G03230,507,99,95,113
AT1G03240,0,0,1,0
AT1G03250,32,44,0,36
AT1G03260,1,35,0,12
AT1G03270,0,9,0,0
AT1G03280,78,20,23,54
AT1G03290,149,139,426,270
AT1G03300,5,19,0,0
AT1G03310,52,58,0,20
AT1G03320,2,0,0,0
AT1G03330,19,21,204,33
AT1G03340,5,2,23,0
AT1G03350,61,45,19,94
AT1G03360,38,0,0,25
AT1G03365,81,28,30,41
AT1G03370,4309,1515,426,559
AT1G03380,332,174,644,876
AT1G03390,51,20,0,1
AT1G03400,134,32,1,2
AT1G03410,20,1,19,10
AT1G03430,11,9,0,0
AT1G03440,33,25,60,276
AT1G03445,0,0,0,0
